pressure_level_hpa,selected_bucket_lower,selected_bucket_upper,white_center,selected_bucket_count,middle_60_score_lower,middle_60_score_upper,score_min,score_max,matched_latitude_min,matched_latitude_max
1000.0,51.5,52.5,52.0,7525,20.0,80.0,0.0,100.0,-89.0,89.0
975.0,56.5,57.5,57.0,7419,20.0,80.0,0.0,100.0,-89.0,89.0
950.0,19.5,20.5,20.0,6671,20.0,80.0,0.0,100.0,-89.0,89.0
925.0,54.5,55.5,55.0,6968,20.0,80.0,0.0,100.0,-89.0,89.0
900.0,22.5,23.5,23.0,6527,20.0,80.0,0.0,100.0,-89.0,89.0
875.0,22.5,23.5,23.0,6545,20.0,80.0,0.0,100.0,-89.0,89.0
850.0,42.5,43.5,43.0,7205,20.0,80.0,0.0,100.0,-89.0,89.0
825.0,40.5,41.5,41.0,7041,20.0,80.0,0.0,100.0,-89.0,89.0
800.0,49.5,50.5,50.0,6884,20.0,80.0,0.0,100.0,-89.0,89.0
775.0,38.5,39.5,39.0,6651,20.0,80.0,0.0,100.0,-89.0,89.0
750.0,38.5,39.5,39.0,6113,20.0,80.0,0.0,100.0,-89.0,89.0
700.0,38.5,39.5,39.0,5979,20.0,80.0,0.0,100.0,-89.0,89.0
650.0,38.5,39.5,39.0,5606,20.0,80.0,0.0,100.0,-89.0,89.0
600.0,31.5,32.5,32.0,5637,20.0,80.0,0.0,100.0,-89.0,89.0
550.0,33.5,34.5,34.0,5510,20.0,80.0,0.0,100.0,-89.0,89.0
500.0,31.5,32.5,32.0,5455,20.0,80.0,0.0,100.0,-89.0,89.0
450.0,35.5,36.5,36.0,5247,20.0,80.0,0.0,100.0,-89.0,89.0
400.0,35.5,36.5,36.0,4999,20.0,80.0,0.0,100.0,-89.0,89.0
350.0,31.5,32.5,32.0,4816,20.0,80.0,0.0,100.0,-89.0,89.0
300.0,22.5,23.5,23.0,4633,20.0,80.0,0.0,100.0,-89.0,89.0
250.0,47.5,48.5,48.0,5511,20.0,80.0,0.0,100.0,-89.0,89.0
225.0,51.5,52.5,52.0,3581,20.0,80.0,0.0,100.0,-89.0,89.0
200.0,63.5,64.5,64.0,3974,20.0,80.0,0.0,100.0,-89.0,89.0
175.0,79.5,80.5,80.0,5467,20.0,80.0,0.0,100.0,-89.0,89.0
150.0,38.5,39.5,39.0,5500,20.0,80.0,0.0,100.0,-89.0,89.0
125.0,38.5,39.5,39.0,5274,20.0,80.0,0.0,100.0,-89.0,89.0
100.0,38.5,39.5,39.0,4985,20.0,80.0,0.0,100.0,-89.0,89.0
70.0,35.5,36.5,36.0,3549,20.0,80.0,0.0,100.0,-89.0,89.0
50.0,29.5,30.5,30.0,5414,20.0,80.0,0.0,100.0,-89.0,89.0
30.0,76.5,77.5,77.0,3412,20.0,80.0,0.0,100.0,-89.0,89.0
20.0,19.5,20.5,20.0,4562,20.0,80.0,0.0,100.0,-89.0,89.0
10.0,79.5,80.5,80.0,5738,20.0,80.0,0.0,100.0,-89.0,89.0
7.0,79.5,80.5,80.0,7186,20.0,80.0,0.0,100.0,-89.0,89.0
5.0,22.5,23.5,23.0,5910,20.0,80.0,0.0,100.0,-89.0,89.0
3.0,24.5,25.5,25.0,5614,20.0,80.0,0.0,100.0,-89.0,89.0
2.0,47.5,48.5,48.0,5071,20.0,80.0,0.0,100.0,-89.0,89.0
1.0,19.5,20.5,20.0,3752,20.0,80.0,0.0,100.0,-89.0,89.0
