pressure_level_hpa,bucket_center_score_points,count
250,0,71380
250,1,21617
250,2,10925
250,3,9728
250,4,5467
250,5,5389
250,6,5392
250,7,5534
250,8,6040
250,9,5936
250,10,6369
250,11,7001
250,12,7187
250,13,7487
250,14,6820
250,15,7078
250,16,7311
250,17,7940
250,18,8254
250,19,8447
250,20,9121
250,21,8553
250,22,9348
250,23,11305
250,24,12850
250,25,13677
250,26,14490
250,27,14047
250,28,12066
250,29,8860
250,30,6525
250,31,6109
250,32,6320
250,33,6340
250,34,6473
250,35,6643
250,36,6993
250,37,7552
250,38,7740
250,39,8169
250,40,9405
250,41,10370
250,42,11318
250,43,11997
250,44,12104
250,45,12348
250,46,11546
250,47,11130
250,48,10772
250,49,9619
250,50,8806
250,51,7527
250,52,6668
250,53,6211
250,54,5958
250,55,6058
250,56,6425
250,57,6980
250,58,7135
250,59,7868
250,60,8984
250,61,9711
250,62,10414
250,63,11125
250,64,12823
250,65,13806
250,66,13737
250,67,11703
250,68,9698
250,69,9680
250,70,10240
250,71,10024
250,72,9132
250,73,8610
250,74,8003
250,75,7924
250,76,8535
250,77,8558
250,78,7774
250,79,7959
250,80,7816
250,81,7834
250,82,8125
250,83,8054
250,84,9057
250,85,11959
250,86,15878
250,87,16191
250,88,11680
250,89,11439
250,90,12673
250,91,12312
250,92,9462
250,93,12346
250,94,13933
250,95,12595
250,96,16922
250,97,13394
250,98,11669
250,99,14887
250,100,5326
500,0,22335
500,1,2835
500,2,3026
500,3,5745
500,4,5283
500,5,9396
500,6,9804
500,7,11280
500,8,17443
500,9,21178
500,10,13446
500,11,17217
500,12,20321
500,13,15305
500,14,15388
500,15,11654
500,16,9597
500,17,9396
500,18,9195
500,19,8436
500,20,8250
500,21,8698
500,22,8621
500,23,8167
500,24,8157
500,25,8721
500,26,9681
500,27,9249
500,28,9229
500,29,8141
500,30,7256
500,31,7330
500,32,7007
500,33,7313
500,34,8078
500,35,7744
500,36,7575
500,37,7533
500,38,6805
500,39,6385
500,40,6181
500,41,6454
500,42,6383
500,43,6986
500,44,7864
500,45,8701
500,46,9598
500,47,10195
500,48,10677
500,49,11008
500,50,12914
500,51,14979
500,52,13429
500,53,11167
500,54,10754
500,55,10540
500,56,11039
500,57,11714
500,58,10316
500,59,9799
500,60,10401
500,61,10881
500,62,11200
500,63,10668
500,64,10022
500,65,10178
500,66,10729
500,67,10916
500,68,11610
500,69,11787
500,70,10859
500,71,10012
500,72,9812
500,73,9662
500,74,9773
500,75,10488
500,76,11096
500,77,10543
500,78,9839
500,79,9512
500,80,8536
500,81,10903
500,82,11024
500,83,13561
500,84,13298
500,85,15441
500,86,12068
500,87,15714
500,88,12534
500,89,11806
500,90,13790
500,91,9805
500,92,12157
500,93,8142
500,94,8167
500,95,7046
500,96,7598
500,97,5742
500,98,7061
500,99,10385
500,100,3036
850,0,10449
850,1,7609
850,2,13419
850,3,8864
850,4,6590
850,5,6721
850,6,6152
850,7,7456
850,8,8562
850,9,8068
850,10,7663
850,11,8418
850,12,10060
850,13,12480
850,14,13680
850,15,11558
850,16,11406
850,17,9740
850,18,8094
850,19,9021
850,20,10722
850,21,12210
850,22,9663
850,23,8508
850,24,8943
850,25,9513
850,26,10569
850,27,11878
850,28,12607
850,29,12286
850,30,11966
850,31,11630
850,32,11438
850,33,10963
850,34,11352
850,35,11233
850,36,11197
850,37,11322
850,38,11418
850,39,11049
850,40,10805
850,41,10301
850,42,10025
850,43,8783
850,44,8309
850,45,8717
850,46,8669
850,47,8206
850,48,7728
850,49,6879
850,50,6707
850,51,7142
850,52,8123
850,53,8255
850,54,8739
850,55,10190
850,56,11432
850,57,10980
850,58,10185
850,59,10177
850,60,10258
850,61,10033
850,62,9056
850,63,8799
850,64,9423
850,65,10340
850,66,11390
850,67,10946
850,68,10623
850,69,11298
850,70,11840
850,71,11725
850,72,11869
850,73,12269
850,74,12030
850,75,12314
850,76,12309
850,77,12970
850,78,13059
850,79,13847
850,80,14534
850,81,16877
850,82,17853
850,83,17159
850,84,18843
850,85,16532
850,86,16720
850,87,14348
850,88,13080
850,89,12685
850,90,11011
850,91,9710
850,92,8064
850,93,6415
850,94,5047
850,95,3950
850,96,2319
850,97,1693
850,98,2335
850,99,2860
850,100,1458
1000,0,3501
1000,1,3065
1000,2,5158
