contour_line_index,score_contour,contour_segment,vertex_count,sample_count,resolved_sample_count,unresolved_sample_count,used_arclength_fallback,total_two_nearest_distance_degrees,mean_two_nearest_distance_degrees,median_two_nearest_distance_degrees,unique_first_neighbor_line_count,unique_second_neighbor_line_count,pressure_level_hpa
0,5.0,0,958,770,770,0,False,7450.958950042725,9.676570064990552,8.92910921573639,2,3,250.0
1,5.0,1,1734,1440,1440,0,False,16814.894287347794,11.6770099217693,10.409871816635132,1,1,250.0
2,10.0,0,300,243,243,0,False,2998.180664330721,12.338192034282802,12.503808498382568,3,6,250.0
3,10.0,1,125,70,70,0,False,571.8166335821152,8.168809051173074,8.591831684112549,3,4,250.0
4,10.0,2,1257,1013,1013,0,False,6765.3511467278,6.678530253433169,6.277912616729736,3,6,250.0
5,10.0,3,1670,1440,1440,0,False,10199.683735370636,7.083113705118497,6.446480870246887,2,3,250.0
6,15.0,0,249,207,207,0,False,2840.812324643135,13.723731036923358,15.771031379699707,3,6,250.0
7,15.0,1,207,122,122,0,False,786.1559561789036,6.443901280154948,6.545637130737305,3,5,250.0
8,15.0,2,1322,1041,1041,0,False,5708.699240475893,5.483860941859647,4.565306186676025,3,6,250.0
9,15.0,3,1676,1440,1440,0,False,8523.29789853096,5.918956873979833,5.402903914451599,2,3,250.0
10,15.0,4,75,44,44,0,False,483.85282921791077,10.996655209497971,11.005922555923462,2,3,250.0
11,20.0,0,88,59,59,0,False,668.7888367176056,11.335404012162806,11.461204528808594,2,3,250.0
12,20.0,1,268,160,160,0,False,848.295577287674,5.301847358047962,5.3842453956604,4,6,250.0
13,20.0,2,1378,1058,1058,0,False,4671.318124651909,4.415234522355301,3.6148666739463806,3,5,250.0
14,20.0,3,1755,1448,1448,0,False,8665.579010725021,5.984515891384683,5.290951490402222,2,4,250.0
15,20.0,4,153,104,104,0,False,882.3327009677887,8.48396827853643,8.701700568199158,1,1,250.0
16,20.0,5,163,110,110,0,False,1006.9119095802307,9.153744632547552,8.678474307060242,1,2,250.0
17,25.0,0,339,190,190,0,False,1147.7870163917542,6.040984296798706,5.699443340301514,3,5,250.0
18,25.0,1,1658,1163,1163,0,False,4336.520332992077,3.7287363138366953,3.253971815109253,4,4,250.0
19,25.0,2,1971,1494,1494,0,False,8986.535956144333,6.015084307994868,5.458278059959412,3,5,250.0
20,25.0,3,317,220,220,0,False,1268.7943762540817,5.76724716479128,5.600005865097046,1,2,250.0
21,30.0,0,551,347,347,0,False,3104.2152169942856,8.945865178657883,8.788605451583862,3,5,250.0
22,30.0,1,1683,1150,1150,0,False,3802.945802092552,3.3069093931239584,3.0019445717334747,3,3,250.0
23,30.0,2,1963,1440,1440,0,False,8769.592209935188,6.089994590232769,5.246963143348694,3,5,250.0
24,30.0,3,431,302,302,0,False,1315.425051689148,4.355712091685921,3.8810696601867676,2,3,250.0
25,30.0,4,161,94,94,0,False,829.9208991527557,8.828945735667615,9.153424739837646,2,4,250.0
26,35.0,0,704,481,481,0,False,4835.563282370567,10.053146117194526,7.452300310134888,4,6,250.0
27,35.0,1,1754,1194,1194,0,False,3976.5348395109177,3.3304311888701155,2.9343440532684326,3,3,250.0
28,35.0,2,2027,1450,1450,0,False,8706.43498557806,6.004437921088317,5.208055257797241,2,3,250.0
29,35.0,3,531,374,374,0,False,1434.6849873065948,3.8360561157930344,3.425400495529175,2,2,250.0
30,35.0,4,179,116,116,0,False,1053.6589422225952,9.083266743298235,8.944671273231506,1,1,250.0
31,40.0,0,2359,1590,1590,0,False,7160.802547633648,4.5036494010274515,3.8344960808753967,3,7,250.0
32,40.0,1,2095,1460,1460,0,False,8514.084859848022,5.831564972498645,5.105939745903015,2,4,250.0
33,40.0,2,241,136,136,0,False,1265.4014974832535,9.304422775612158,8.76407516002655,2,3,250.0
34,40.0,3,989,732,732,0,False,3526.5669960975647,4.817714475543121,4.433344125747681,2,5,250.0
35,40.0,4,91,46,46,0,False,618.417845249176,13.443866201069044,14.092047452926636,1,2,250.0
36,45.0,0,2236,1504,1504,0,False,6920.593719661236,4.60145859020029,4.180546462535858,4,10,250.0
37,45.0,1,2200,1494,1494,0,False,8467.359162032604,5.667576413676442,5.26674485206604,2,4,250.0
38,45.0,2,1083,798,798,0,False,3575.6814152002335,4.480803778446408,4.380477547645569,3,6,250.0
