bucket_lower,bucket_upper,bucket_center,cell_count
-180.5,-179.5,-180.0,0
-179.5,-178.5,-179.0,0
-178.5,-177.5,-178.0,0
-177.5,-176.5,-177.0,0
-176.5,-175.5,-176.0,0
-175.5,-174.5,-175.0,0
-174.5,-173.5,-174.0,0
-173.5,-172.5,-173.0,0
-172.5,-171.5,-172.0,0
-171.5,-170.5,-171.0,0
-170.5,-169.5,-170.0,0
-169.5,-168.5,-169.0,0
-168.5,-167.5,-168.0,0
-167.5,-166.5,-167.0,0
-166.5,-165.5,-166.0,0
-165.5,-164.5,-165.0,0
-164.5,-163.5,-164.0,0
-163.5,-162.5,-163.0,0
-162.5,-161.5,-162.0,0
-161.5,-160.5,-161.0,0
-160.5,-159.5,-160.0,0
-159.5,-158.5,-159.0,5
-158.5,-157.5,-158.0,13
-157.5,-156.5,-157.0,17
-156.5,-155.5,-156.0,28
-155.5,-154.5,-155.0,44
-154.5,-153.5,-154.0,70
-153.5,-152.5,-153.0,92
-152.5,-151.5,-152.0,106
-151.5,-150.5,-151.0,127
-150.5,-149.5,-150.0,169
-149.5,-148.5,-149.0,220
-148.5,-147.5,-148.0,382
-147.5,-146.5,-147.0,371
-146.5,-145.5,-146.0,446
-145.5,-144.5,-145.0,454
-144.5,-143.5,-144.0,502
-143.5,-142.5,-143.0,491
-142.5,-141.5,-142.0,466
-141.5,-140.5,-141.0,502
-140.5,-139.5,-140.0,483
-139.5,-138.5,-139.0,496
-138.5,-137.5,-138.0,503
-137.5,-136.5,-137.0,545
-136.5,-135.5,-136.0,567
-135.5,-134.5,-135.0,553
-134.5,-133.5,-134.0,586
-133.5,-132.5,-133.0,612
-132.5,-131.5,-132.0,638
-131.5,-130.5,-131.0,746
-130.5,-129.5,-130.0,764
-129.5,-128.5,-129.0,755
-128.5,-127.5,-128.0,793
-127.5,-126.5,-127.0,702
-126.5,-125.5,-126.0,773
-125.5,-124.5,-125.0,808
-124.5,-123.5,-124.0,909
-123.5,-122.5,-123.0,920
-122.5,-121.5,-122.0,1182
-121.5,-120.5,-121.0,1302
-120.5,-119.5,-120.0,1346
-119.5,-118.5,-119.0,1406
-118.5,-117.5,-118.0,1411
-117.5,-116.5,-117.0,1393
-116.5,-115.5,-116.0,1247
-115.5,-114.5,-115.0,1265
-114.5,-113.5,-114.0,1425
-113.5,-112.5,-113.0,1395
-112.5,-111.5,-112.0,1458
-111.5,-110.5,-111.0,1420
-110.5,-109.5,-110.0,1320
-109.5,-108.5,-109.0,1299
-108.5,-107.5,-108.0,1297
-107.5,-106.5,-107.0,1252
-106.5,-105.5,-106.0,1377
-105.5,-104.5,-105.0,1386
-104.5,-103.5,-104.0,1325
-103.5,-102.5,-103.0,1332
-102.5,-101.5,-102.0,1467
-101.5,-100.5,-101.0,1442
-100.5,-99.5,-100.0,1331
-99.5,-98.5,-99.0,1192
-98.5,-97.5,-98.0,1231
-97.5,-96.5,-97.0,1221
-96.5,-95.5,-96.0,1127
-95.5,-94.5,-95.0,1187
-94.5,-93.5,-94.0,1107
-93.5,-92.5,-93.0,1085
-92.5,-91.5,-92.0,1056
-91.5,-90.5,-91.0,1053
-90.5,-89.5,-90.0,984
-89.5,-88.5,-89.0,1003
-88.5,-87.5,-88.0,1110
-87.5,-86.5,-87.0,1122
-86.5,-85.5,-86.0,1086
-85.5,-84.5,-85.0,1081
-84.5,-83.5,-84.0,1166
-83.5,-82.5,-83.0,1158
-82.5,-81.5,-82.0,1119
-81.5,-80.5,-81.0,1220
-80.5,-79.5,-80.0,1197
-79.5,-78.5,-79.0,1165
-78.5,-77.5,-78.0,1087
-77.5,-76.5,-77.0,1087
-76.5,-75.5,-76.0,1299
-75.5,-74.5,-75.0,1261
-74.5,-73.5,-74.0,1357
-73.5,-72.5,-73.0,1407
-72.5,-71.5,-72.0,1395
