bucket_lower,bucket_upper,bucket_center,cell_count
-49.5,-48.5,-49.0,0
-48.5,-47.5,-48.0,0
-47.5,-46.5,-47.0,0
-46.5,-45.5,-46.0,0
-45.5,-44.5,-45.0,0
-44.5,-43.5,-44.0,0
-43.5,-42.5,-43.0,0
-42.5,-41.5,-42.0,0
-41.5,-40.5,-41.0,0
-40.5,-39.5,-40.0,0
-39.5,-38.5,-39.0,0
-38.5,-37.5,-38.0,0
-37.5,-36.5,-37.0,0
-36.5,-35.5,-36.0,0
-35.5,-34.5,-35.0,0
-34.5,-33.5,-34.0,0
-33.5,-32.5,-33.0,0
-32.5,-31.5,-32.0,0
-31.5,-30.5,-31.0,283
-30.5,-29.5,-30.0,486
-29.5,-28.5,-29.0,465
-28.5,-27.5,-28.0,1055
-27.5,-26.5,-27.0,1124
-26.5,-25.5,-26.0,1210
-25.5,-24.5,-25.0,1307
-24.5,-23.5,-24.0,1872
-23.5,-22.5,-23.0,2162
-22.5,-21.5,-22.0,2677
-21.5,-20.5,-21.0,3414
-20.5,-19.5,-20.0,3719
-19.5,-18.5,-19.0,5623
-18.5,-17.5,-18.0,7628
-17.5,-16.5,-17.0,8555
-16.5,-15.5,-16.0,11661
-15.5,-14.5,-15.0,14588
-14.5,-13.5,-14.0,16412
-13.5,-12.5,-13.0,20352
-12.5,-11.5,-12.0,21838
-11.5,-10.5,-11.0,25311
-10.5,-9.5,-10.0,30332
-9.5,-8.5,-9.0,31859
-8.5,-7.5,-8.0,33963
-7.5,-6.5,-7.0,36718
-6.5,-5.5,-6.0,43172
-5.5,-4.5,-5.0,45707
-4.5,-3.5,-4.0,46924
-3.5,-2.5,-3.0,47612
-2.5,-1.5,-2.0,49876
-1.5,-0.5,-1.0,53024
-0.5,0.5,0.0,55656
0.5,1.5,1.0,46924
1.5,2.5,2.0,41447
2.5,3.5,3.0,34094
3.5,4.5,4.0,30044
4.5,5.5,5.0,28922
5.5,6.5,6.0,28083
6.5,7.5,7.0,24194
7.5,8.5,8.0,19318
8.5,9.5,9.0,16992
9.5,10.5,10.0,14298
10.5,11.5,11.0,10848
11.5,12.5,12.0,8791
12.5,13.5,13.0,7657
13.5,14.5,14.0,6594
14.5,15.5,15.0,4887
15.5,16.5,16.0,4650
16.5,17.5,17.0,4694
17.5,18.5,18.0,4774
18.5,19.5,19.0,3835
19.5,20.5,20.0,3185
20.5,21.5,21.0,2754
21.5,22.5,22.0,2771
22.5,23.5,23.0,2879
23.5,24.5,24.0,3180
24.5,25.5,25.0,3053
25.5,26.5,26.0,2682
26.5,27.5,27.0,2265
27.5,28.5,28.0,2264
28.5,29.5,29.0,2345
29.5,30.5,30.0,2462
30.5,31.5,31.0,2513
31.5,32.5,32.0,2362
32.5,33.5,33.0,2318
33.5,34.5,34.0,2705
34.5,35.5,35.0,1908
35.5,36.5,36.0,1934
36.5,37.5,37.0,1938
37.5,38.5,38.0,1911
38.5,39.5,39.0,1898
39.5,40.5,40.0,1901
40.5,41.5,41.0,1929
41.5,42.5,42.0,1911
42.5,43.5,43.0,1080
43.5,44.5,44.0,450
44.5,45.5,45.0,497
45.5,46.5,46.0,541
46.5,47.5,47.0,615
47.5,48.5,48.0,655
48.5,49.5,49.0,183
