bucket_lower,bucket_upper,bucket_center,cell_count
-0.5,0.5,0.0,6253
0.5,1.5,1.0,8834
1.5,2.5,2.0,8543
2.5,3.5,3.0,8650
3.5,4.5,4.0,10251
4.5,5.5,5.0,9580
5.5,6.5,6.0,8970
6.5,7.5,7.0,8377
7.5,8.5,8.0,8301
8.5,9.5,9.0,9000
9.5,10.5,10.0,9095
10.5,11.5,11.0,9971
11.5,12.5,12.0,11116
12.5,13.5,13.0,13339
13.5,14.5,14.0,10615
14.5,15.5,15.0,10810
15.5,16.5,16.0,13181
16.5,17.5,17.0,10453
17.5,18.5,18.0,9353
18.5,19.5,19.0,9332
19.5,20.5,20.0,9972
20.5,21.5,21.0,9988
21.5,22.5,22.0,10017
22.5,23.5,23.0,10308
23.5,24.5,24.0,11382
24.5,25.5,25.0,12964
25.5,26.5,26.0,11491
26.5,27.5,27.0,10508
27.5,28.5,28.0,9738
28.5,29.5,29.0,9655
29.5,30.5,30.0,9709
30.5,31.5,31.0,9975
31.5,32.5,32.0,10177
32.5,33.5,33.0,10479
33.5,34.5,34.0,9532
34.5,35.5,35.0,9378
35.5,36.5,36.0,9297
36.5,37.5,37.0,9206
37.5,38.5,38.0,9094
38.5,39.5,39.0,9043
39.5,40.5,40.0,9032
40.5,41.5,41.0,9091
41.5,42.5,42.0,9232
42.5,43.5,43.0,9959
43.5,44.5,44.0,10783
44.5,45.5,45.0,10585
45.5,46.5,46.0,10045
46.5,47.5,47.0,9068
47.5,48.5,48.0,8678
48.5,49.5,49.0,8581
49.5,50.5,50.0,8534
50.5,51.5,51.0,8493
51.5,52.5,52.0,8652
52.5,53.5,53.0,8830
53.5,54.5,54.0,8984
54.5,55.5,55.0,9141
55.5,56.5,56.0,9397
56.5,57.5,57.0,9575
57.5,58.5,58.0,10286
58.5,59.5,59.0,11456
59.5,60.5,60.0,11606
60.5,61.5,61.0,10019
61.5,62.5,62.0,9706
62.5,63.5,63.0,9804
63.5,64.5,64.0,10043
64.5,65.5,65.0,9286
65.5,66.5,66.0,9371
66.5,67.5,67.0,9441
67.5,68.5,68.0,9611
68.5,69.5,69.0,9940
69.5,70.5,70.0,11930
70.5,71.5,71.0,12818
71.5,72.5,72.0,11975
72.5,73.5,73.0,11804
73.5,74.5,74.0,11839
74.5,75.5,75.0,12220
75.5,76.5,76.0,14271
76.5,77.5,77.0,16389
77.5,78.5,78.0,16937
78.5,79.5,79.0,14428
79.5,80.5,80.0,13741
80.5,81.5,81.0,14571
81.5,82.5,82.0,16060
82.5,83.5,83.0,17972
83.5,84.5,84.0,17284
84.5,85.5,85.0,17524
85.5,86.5,86.0,19528
86.5,87.5,87.0,25175
87.5,88.5,88.0,23920
88.5,89.5,89.0,15258
89.5,90.5,90.0,10995
90.5,91.5,91.0,6568
91.5,92.5,92.0,5189
92.5,93.5,93.0,3248
93.5,94.5,94.0,939
94.5,95.5,95.0,669
95.5,96.5,96.0,302
96.5,97.5,97.0,0
97.5,98.5,98.0,0
98.5,99.5,99.0,0
99.5,100.5,100.0,0
