bucket_lower,bucket_upper,bucket_center,cell_count
-0.5,0.5,0.0,11364
0.5,1.5,1.0,13714
1.5,2.5,2.0,9323
2.5,3.5,3.0,9552
3.5,4.5,4.0,9252
4.5,5.5,5.0,9563
5.5,6.5,6.0,10860
6.5,7.5,7.0,12571
7.5,8.5,8.0,13544
8.5,9.5,9.0,13753
9.5,10.5,10.0,13066
10.5,11.5,11.0,13490
11.5,12.5,12.0,12029
12.5,13.5,13.0,9973
13.5,14.5,14.0,10480
14.5,15.5,15.0,10567
15.5,16.5,16.0,11558
16.5,17.5,17.0,10403
17.5,18.5,18.0,10236
18.5,19.5,19.0,9946
19.5,20.5,20.0,10416
20.5,21.5,21.0,11174
21.5,22.5,22.0,12616
22.5,23.5,23.0,10837
23.5,24.5,24.0,9977
24.5,25.5,25.0,9477
25.5,26.5,26.0,8992
26.5,27.5,27.0,8782
27.5,28.5,28.0,8546
28.5,29.5,29.0,8440
29.5,30.5,30.0,8349
30.5,31.5,31.0,8214
31.5,32.5,32.0,7999
32.5,33.5,33.0,7853
33.5,34.5,34.0,7652
34.5,35.5,35.0,7431
35.5,36.5,36.0,7358
36.5,37.5,37.0,7255
37.5,38.5,38.0,7231
38.5,39.5,39.0,7202
39.5,40.5,40.0,7183
40.5,41.5,41.0,7245
41.5,42.5,42.0,7290
42.5,43.5,43.0,7501
43.5,44.5,44.0,7729
44.5,45.5,45.0,8385
45.5,46.5,46.0,8995
46.5,47.5,47.0,9119
47.5,48.5,48.0,9098
48.5,49.5,49.0,10401
49.5,50.5,50.0,11978
50.5,51.5,51.0,11918
51.5,52.5,52.0,12243
52.5,53.5,53.0,12090
53.5,54.5,54.0,11409
54.5,55.5,55.0,11133
55.5,56.5,56.0,11109
56.5,57.5,57.0,11100
57.5,58.5,58.0,11044
58.5,59.5,59.0,10968
59.5,60.5,60.0,10928
60.5,61.5,61.0,10915
61.5,62.5,62.0,11098
62.5,63.5,63.0,11769
63.5,64.5,64.0,10214
64.5,65.5,65.0,10330
65.5,66.5,66.0,10569
66.5,67.5,67.0,10525
67.5,68.5,68.0,10252
68.5,69.5,69.0,9985
69.5,70.5,70.0,9750
70.5,71.5,71.0,9516
71.5,72.5,72.0,9361
72.5,73.5,73.0,9160
73.5,74.5,74.0,9121
74.5,75.5,75.0,8975
75.5,76.5,76.0,9077
76.5,77.5,77.0,9135
77.5,78.5,78.0,9233
78.5,79.5,79.0,9396
79.5,80.5,80.0,9766
80.5,81.5,81.0,10272
81.5,82.5,82.0,12198
82.5,83.5,83.0,15016
83.5,84.5,84.0,18936
84.5,85.5,85.0,16054
85.5,86.5,86.0,19261
86.5,87.5,87.0,17579
87.5,88.5,88.0,16611
88.5,89.5,89.0,13897
89.5,90.5,90.0,9613
90.5,91.5,91.0,10913
91.5,92.5,92.0,11656
92.5,93.5,93.0,13481
93.5,94.5,94.0,12243
94.5,95.5,95.0,11498
95.5,96.5,96.0,6431
96.5,97.5,97.0,3003
97.5,98.5,98.0,0
98.5,99.5,99.0,0
99.5,100.5,100.0,0
