bucket_lower,bucket_upper,bucket_center,cell_count
-47.5,-46.5,-47.0,19
-46.5,-45.5,-46.0,87
-45.5,-44.5,-45.0,95
-44.5,-43.5,-44.0,172
-43.5,-42.5,-43.0,131
-42.5,-41.5,-42.0,218
-41.5,-40.5,-41.0,188
-40.5,-39.5,-40.0,155
-39.5,-38.5,-39.0,136
-38.5,-37.5,-38.0,177
-37.5,-36.5,-37.0,241
-36.5,-35.5,-36.0,195
-35.5,-34.5,-35.0,306
-34.5,-33.5,-34.0,213
-33.5,-32.5,-33.0,345
-32.5,-31.5,-32.0,344
-31.5,-30.5,-31.0,535
-30.5,-29.5,-30.0,430
-29.5,-28.5,-29.0,619
-28.5,-27.5,-28.0,948
-27.5,-26.5,-27.0,1064
-26.5,-25.5,-26.0,2126
-25.5,-24.5,-25.0,1823
-24.5,-23.5,-24.0,2727
-23.5,-22.5,-23.0,2231
-22.5,-21.5,-22.0,3190
-21.5,-20.5,-21.0,4523
-20.5,-19.5,-20.0,4251
-19.5,-18.5,-19.0,6269
-18.5,-17.5,-18.0,5049
-17.5,-16.5,-17.0,7063
-16.5,-15.5,-16.0,6172
-15.5,-14.5,-15.0,9399
-14.5,-13.5,-14.0,8254
-13.5,-12.5,-13.0,12993
-12.5,-11.5,-12.0,18203
-11.5,-10.5,-11.0,18174
-10.5,-9.5,-10.0,27411
-9.5,-8.5,-9.0,21017
-8.5,-7.5,-8.0,31848
-7.5,-6.5,-7.0,26979
-6.5,-5.5,-6.0,38792
-5.5,-4.5,-5.0,32578
-4.5,-3.5,-4.0,48521
-3.5,-2.5,-3.0,51894
-2.5,-1.5,-2.0,42388
-1.5,-0.5,-1.0,57820
-0.5,0.5,0.0,43137
0.5,1.5,1.0,53240
1.5,2.5,2.0,39574
2.5,3.5,3.0,53811
3.5,4.5,4.0,50474
4.5,5.5,5.0,35494
5.5,6.5,6.0,42533
6.5,7.5,7.0,26813
7.5,8.5,8.0,31592
8.5,9.5,9.0,21176
9.5,10.5,10.0,24717
10.5,11.5,11.0,15727
11.5,12.5,12.0,18546
12.5,13.5,13.0,14152
13.5,14.5,14.0,9377
14.5,15.5,15.0,9989
15.5,16.5,16.0,6663
16.5,17.5,17.0,7938
17.5,18.5,18.0,4259
18.5,19.5,19.0,4736
19.5,20.5,20.0,2523
20.5,21.5,21.0,2924
21.5,22.5,22.0,2900
22.5,23.5,23.0,1741
23.5,24.5,24.0,1088
24.5,25.5,25.0,832
25.5,26.5,26.0,1190
26.5,27.5,27.0,626
27.5,28.5,28.0,351
28.5,29.5,29.0,133
29.5,30.5,30.0,52
30.5,31.5,31.0,48
31.5,32.5,32.0,14
32.5,33.5,33.0,16
33.5,34.5,34.0,12
34.5,35.5,35.0,9
35.5,36.5,36.0,0
36.5,37.5,37.0,0
37.5,38.5,38.0,0
38.5,39.5,39.0,0
39.5,40.5,40.0,0
40.5,41.5,41.0,0
41.5,42.5,42.0,0
42.5,43.5,43.0,0
43.5,44.5,44.0,0
44.5,45.5,45.0,0
45.5,46.5,46.0,0
46.5,47.5,47.0,0
