bucket_label,lower_bound,lower_inclusive,upper_bound,upper_inclusive,cell_count
0-1,0,true,1,true,45530
1-2,1,false,2,true,8637
2-3,2,false,3,true,7405
3-4,3,false,4,true,6760
4-5,4,false,5,true,7213
5-6,5,false,6,true,6401
6-7,6,false,7,true,5814
7-8,7,false,8,true,6802
8-9,8,false,9,true,7525
9-10,9,false,10,true,7259
10-11,10,false,11,true,6998
11-12,11,false,12,true,7617
12-13,12,false,13,true,8801
13-14,13,false,14,true,8964
14-15,14,false,15,true,10656
15-16,15,false,16,true,11017
16-17,16,false,17,true,9959
17-18,17,false,18,true,8707
18-19,18,false,19,true,8919
19-20,19,false,20,true,9325
20-21,20,false,21,true,8971
21-22,21,false,22,true,8140
22-23,22,false,23,true,9074
23-24,23,false,24,true,9439
24-25,24,false,25,true,9860
25-26,25,false,26,true,9973
26-27,26,false,27,true,8903
27-28,27,false,28,true,10936
28-29,28,false,29,true,10585
29-30,29,false,30,true,9720
30-31,30,false,31,true,11177
31-32,31,false,32,true,9524
32-33,32,false,33,true,9811
33-34,33,false,34,true,11026
34-35,34,false,35,true,12946
35-36,35,false,36,true,12095
36-37,36,false,37,true,10943
37-38,37,false,38,true,11334
38-39,38,false,39,true,9697
39-40,39,false,40,true,9009
40-41,40,false,41,true,8645
41-42,41,false,42,true,8663
42-43,42,false,43,true,9167
43-44,43,false,44,true,10379
44-45,44,false,45,true,10657
45-46,45,false,46,true,9630
46-47,46,false,47,true,8680
47-48,47,false,48,true,8231
48-49,48,false,49,true,9084
49-50,49,false,50,true,7919
50-51,50,false,51,true,8045
51-52,51,false,52,true,8886
52-53,52,false,53,true,8798
53-54,53,false,54,true,9212
54-55,54,false,55,true,9931
55-56,55,false,56,true,10025
56-57,56,false,57,true,10284
57-58,57,false,58,true,10226
58-59,58,false,59,true,9174
59-60,59,false,60,true,9587
60-61,60,false,61,true,11420
61-62,61,false,62,true,11576
62-63,62,false,63,true,11360
63-64,63,false,64,true,9902
64-65,64,false,65,true,9587
65-66,65,false,66,true,10134
66-67,66,false,67,true,10449
67-68,67,false,68,true,10894
68-69,68,false,69,true,12503
69-70,69,false,70,true,12436
70-71,70,false,71,true,12437
71-72,71,false,72,true,11226
72-73,72,false,73,true,11141
73-74,73,false,74,true,11347
74-75,74,false,75,true,12732
75-76,75,false,76,true,11986
76-77,76,false,77,true,11486
77-78,77,false,78,true,12278
78-79,78,false,79,true,13102
79-80,79,false,80,true,14454
80-81,80,false,81,true,15022
81-82,81,false,82,true,15752
82-83,82,false,83,true,15067
83-84,83,false,84,true,16231
84-85,84,false,85,true,15850
85-86,85,false,86,true,14449
86-87,86,false,87,true,14450
87-88,87,false,88,true,12683
88-89,88,false,89,true,10952
89-90,89,false,90,true,10259
90-91,90,false,91,true,7977
91-92,91,false,92,true,7639
92-93,92,false,93,true,6456
93-94,93,false,94,true,7132
94-95,94,false,95,true,7131
95-96,95,false,96,true,5457
96-97,96,false,97,true,4095
97-98,97,false,98,true,4118
98-99,98,false,99,true,5937
99-100,99,false,100,true,8918
